               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 172,             0.01902,            0.041562,           0.0034813,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004357,            0.004357,            0.004357
                 173,            0.018734,            0.042195,           0.0032775,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004324,            0.004324,            0.004324
                 174,            0.019644,            0.042212,           0.0036345,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004291,            0.004291,            0.004291
                 175,               0.018,            0.039009,           0.0036783,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                 176,            0.019059,            0.041035,           0.0032935,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004225,            0.004225,            0.004225
                 177,            0.019262,            0.043309,           0.0032243,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004192,            0.004192,            0.004192
                 178,             0.01905,            0.042893,           0.0035715,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                 179,            0.018632,            0.043376,           0.0036154,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004126,            0.004126,            0.004126
                 180,             0.01918,            0.041939,           0.0035625,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004093,            0.004093,            0.004093
                 181,            0.018419,            0.041855,           0.0032929,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                 182,            0.018808,            0.041702,           0.0033282,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004027,            0.004027,            0.004027
                 183,            0.018263,            0.041127,           0.0031953,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003994,            0.003994,            0.003994
